date,day,nominations_close,options,scratchings_close,status,time_slot,track,url
10/02/2018,Saturday,06/02/2018 09:00:00 AM,,10/02/2018 08:30:00 AM,Results Finalised,Night,The Meadows,https://fasttrack.grv.org.au/Meeting/Details/228691979
10/02/2018,Saturday,06/02/2018 11:00:00 AM,,10/02/2018 08:30:00 AM,Results Finalised,Twilight,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/228694053
11/02/2018,Sunday,07/02/2018 09:00:00 AM,,10/02/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228693996
11/02/2018,Sunday,07/02/2018 10:00:00 AM,,11/02/2018 08:30:00 AM,Results Finalised,Twilight,Sale,https://fasttrack.grv.org.au/Meeting/Details/228693997
11/02/2018,Sunday,08/02/2018 08:30:00 AM,,10/02/2018 04:00:00 PM,Results Finalised,Day,Sandown (SAP),https://fasttrack.grv.org.au/Meeting/Details/228693998
12/02/2018,Monday,07/02/2018 11:00:00 AM,,11/02/2018 04:00:00 PM,Results Finalised,Day,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228694060
12/02/2018,Monday,08/02/2018 09:00:00 AM,,12/02/2018 08:30:00 AM,Results Finalised,Twilight,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/281029443
12/02/2018,Monday,08/02/2018 10:00:00 AM,,12/02/2018 08:30:00 AM,Results Finalised,Night,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/285371103
13/02/2018,Tuesday,08/02/2018 11:00:00 AM,,13/02/2018 08:30:00 AM,Results Finalised,Twilight,Horsham,https://fasttrack.grv.org.au/Meeting/Details/228691980
13/02/2018,Tuesday,08/02/2018 11:00:00 AM,,13/02/2018 08:30:00 AM,Results Finalised,Twilight,Geelong,https://fasttrack.grv.org.au/Meeting/Details/281029444
13/02/2018,Tuesday,08/02/2018 02:00:00 PM,,13/02/2018 08:30:00 AM,Results Finalised,Night,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/282748877
14/02/2018,Wednesday,09/02/2018 10:00:00 AM,,14/02/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228694003
14/02/2018,Wednesday,09/02/2018 11:00:00 AM,,14/02/2018 08:30:00 AM,Results Finalised,Night,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228694004
14/02/2018,Wednesday,09/02/2018 02:00:00 PM,,14/02/2018 08:30:00 AM,Results Finalised,Night,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/228694005
14/02/2018,Wednesday,09/02/2018 09:00:00 AM,,13/02/2018 04:00:00 PM,Results Finalised,Day,Meadows (MEP),https://fasttrack.grv.org.au/Meeting/Details/228694006
15/02/2018,Thursday,12/02/2018 09:00:00 AM,,15/02/2018 08:30:00 AM,Results Finalised,Night,Sandown Park,https://fasttrack.grv.org.au/Meeting/Details/228694008
15/02/2018,Thursday,12/02/2018 01:00:00 PM,,15/02/2018 08:30:00 AM,Results Finalised,Night,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228694009
15/02/2018,Thursday,12/02/2018 10:00:00 AM,,15/02/2018 08:30:00 AM,Results Finalised,Twilight,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/282748879
16/02/2018,Friday,13/02/2018 10:00:00 AM,,16/02/2018 08:30:00 AM,Results Finalised,Night,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228694010
16/02/2018,Friday,13/02/2018 09:00:00 AM,,16/02/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228694011
15/03/2018,Thursday,13/03/2018 12:00:00 PM,,14/03/2018 04:00:00 PM,Results Finalised,Day,Sale,https://fasttrack.grv.org.au/Meeting/Details/282809496
16/03/2018,Friday,13/03/2018 12:00:00 PM,,16/03/2018 08:30:00 AM,Results Finalised,Night,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228694099
16/03/2018,Friday,13/03/2018 10:00:00 AM,,16/03/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228694100
16/03/2018,Friday,13/03/2018 11:00:00 AM,,16/03/2018 08:30:00 AM,Results Finalised,Night,Geelong,https://fasttrack.grv.org.au/Meeting/Details/228694101
16/03/2018,Friday,13/03/2018 10:00:00 AM,,15/03/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228694129
17/03/2018,Saturday,14/03/2018 08:00:00 AM,,17/03/2018 08:30:00 AM,Results Finalised,Night,The Meadows,https://fasttrack.grv.org.au/Meeting/Details/228694102
17/03/2018,Saturday,14/03/2018 08:00:00 AM,,17/03/2018 08:30:00 AM,Results Finalised,Twilight,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228694118
18/03/2018,Sunday,14/03/2018 09:00:00 AM,,17/03/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228694103
18/03/2018,Sunday,14/03/2018 10:00:00 AM,,18/03/2018 08:30:00 AM,Results Finalised,Twilight,Sale,https://fasttrack.grv.org.au/Meeting/Details/228694104
